特征1,特征2,相关系数
T_COGS,C_OUTF_OPERATE_A,0.991092027259668
COGS,C_FR_SALE_G_S,0.9899625171433192
C_FR_SALE_G_S,COGS,0.9899625171433192
C_INF_FR_OPERATE_A,COGS,0.9896003933453592
COGS,C_INF_FR_OPERATE_A,0.9896003933453592
COGS,C_OUTF_OPERATE_A,0.9894286017359929
C_OUTF_OPERATE_A,COGS,0.9894286017359929
C_OUTF_OPERATE_A,T_REVENUE,0.9893508986895615
T_REVENUE,C_OUTF_OPERATE_A,0.9893508986895615
REVENUE,C_OUTF_OPERATE_A,0.9889844632584568
C_OUTF_OPERATE_A,REVENUE,0.9889844632584568
C_PAID_G_S,COGS,0.987881457146104
COGS,C_PAID_G_S,0.987881457146104
C_PAID_G_S,T_COGS,0.9847461776175855
T_COGS,C_PAID_G_S,0.9847461776175855
T_LIAB,T_CL,0.9839498896864656
T_CL,T_LIAB,0.9839498896864656
T_LIAB,T_LIAB_EQUITY,0.9835309801455653
T_LIAB_EQUITY,T_LIAB,0.9835309801455653
T_LIAB,T_ASSETS,0.9835309731098494
T_ASSETS,T_LIAB,0.9835309731098494
C_PAID_G_S,T_REVENUE,0.9807484442629063
T_REVENUE,C_PAID_G_S,0.9807484442629063
REVENUE,C_PAID_G_S,0.9804756575581354
C_PAID_G_S,REVENUE,0.9804756575581354
INT_DEBT,N_DEBT,0.9777011068976426
N_DEBT,INT_DEBT,0.9777011068976426
N_TAN_ASSETS,T_RE,0.9723648267542158
T_RE,N_TAN_ASSETS,0.9723648267542158
T_ASSETS,T_CL,0.970551081801571
T_CL,T_ASSETS,0.970551081801571
T_CL,T_LIAB_EQUITY,0.9705510695002607
T_LIAB_EQUITY,T_CL,0.9705510695002607
T_ASSETS,T_CA,0.9533488791687058
T_CA,T_ASSETS,0.9533488791687058
T_CA,T_LIAB_EQUITY,0.9533487803440786
T_LIAB_EQUITY,T_CA,0.9533487803440786
T_CA,T_CL,0.9484285731417523
T_CL,T_CA,0.9484285731417523
T_CA,T_LIAB,0.9372561396232955
T_LIAB,T_CA,0.9372561396232955
T_FIXED_ASSETS,IC,0.9201349863995232
IC,T_FIXED_ASSETS,0.9201349863995232
IC,INT_DEBT,0.9059578750942616
INT_DEBT,IC,0.9059578750942616
INT_CL,INT_DEBT,0.8964809179998269
INT_DEBT,INT_CL,0.8964809179998269
N_DEBT,IC,0.8916069817429956
IC,N_DEBT,0.8916069817429956
T_LIAB_EQUITY,REVENUE,0.888727462899193
REVENUE,T_LIAB_EQUITY,0.888727462899193
T_ASSETS,REVENUE,0.8887274582126535
REVENUE,T_ASSETS,0.8887274582126535
T_LIAB_EQUITY,T_REVENUE,0.8882696123390528
T_REVENUE,T_LIAB_EQUITY,0.8882696123390528
T_REVENUE,T_ASSETS,0.8882696066407034
T_ASSETS,T_REVENUE,0.8882696066407034
T_CL,REVENUE,0.8876544229634695
REVENUE,T_CL,0.8876544229634695
T_REVENUE,T_CL,0.8873345518147103
T_CL,T_REVENUE,0.8873345518147103
T_CL,T_COGS,0.8861450256909574
T_COGS,T_CL,0.8861450256909574
T_LIAB_EQUITY,T_COGS,0.8834394345578155
T_COGS,T_LIAB_EQUITY,0.8834394345578155
T_ASSETS,T_COGS,0.8834394160691238
T_COGS,T_ASSETS,0.8834394160691238
T_LIAB_EQUITY,C_INF_FR_OPERATE_A,0.8750785592088944
C_INF_FR_OPERATE_A,T_LIAB_EQUITY,0.8750785592088944
T_ASSETS,C_INF_FR_OPERATE_A,0.8750785550522125
C_INF_FR_OPERATE_A,T_ASSETS,0.8750785550522125
T_CA,REVENUE,0.8722424176037952
REVENUE,T_CA,0.8722424176037952
T_REVENUE,T_CA,0.8720123691421258
T_CA,T_REVENUE,0.8720123691421258
COGS,T_CL,0.871516702988542
T_CL,COGS,0.871516702988542
C_FR_SALE_G_S,T_ASSETS,0.8713333545752994
T_ASSETS,C_FR_SALE_G_S,0.8713333545752994
C_FR_SALE_G_S,T_LIAB_EQUITY,0.8713333525469079
T_LIAB_EQUITY,C_FR_SALE_G_S,0.8713333525469079
T_CL,C_INF_FR_OPERATE_A,0.8694593691281759
C_INF_FR_OPERATE_A,T_CL,0.8694593691281759
T_LIAB_EQUITY,COGS,0.8677393001751693
COGS,T_LIAB_EQUITY,0.8677393001751693
T_ASSETS,COGS,0.8677392850772374
COGS,T_ASSETS,0.8677392850772374
T_CL,C_FR_SALE_G_S,0.8655788441005662
C_FR_SALE_G_S,T_CL,0.8655788441005662
IC,T_RE,0.8646248969616154
T_RE,IC,0.8646248969616154
REVENUE,T_LIAB,0.8644683362294827
T_LIAB,REVENUE,0.8644683362294827
T_LIAB,T_COGS,0.8641694578419895
T_COGS,T_LIAB,0.8641694578419895
T_REVENUE,T_LIAB,0.8639743433013063
T_LIAB,T_REVENUE,0.8639743433013063
T_CA,T_COGS,0.8631097935746914
T_COGS,T_CA,0.8631097935746914
T_LIAB_EQUITY,C_OUTF_OPERATE_A,0.8629315446980871
C_OUTF_OPERATE_A,T_LIAB_EQUITY,0.8629315446980871
C_OUTF_OPERATE_A,T_ASSETS,0.8629315428537776
T_ASSETS,C_OUTF_OPERATE_A,0.8629315428537776
C_OUTF_OPERATE_A,T_CL,0.8614138190082546
T_CL,C_OUTF_OPERATE_A,0.8614138190082546
T_CA,C_INF_FR_OPERATE_A,0.8563537446752211
C_INF_FR_OPERATE_A,T_CA,0.8563537446752211
C_FR_SALE_G_S,T_CA,0.8517697071147539
T_CA,C_FR_SALE_G_S,0.8517697071147539
COGS,T_LIAB,0.8484448026952335
T_LIAB,COGS,0.8484448026952335
INT_CL,N_DEBT,0.8471696098166278
N_DEBT,INT_CL,0.8471696098166278
T_CA,C_OUTF_OPERATE_A,0.8469138139505843
C_OUTF_OPERATE_A,T_CA,0.8469138139505843
C_INF_FR_OPERATE_A,T_LIAB,0.8460207429049948
T_LIAB,C_INF_FR_OPERATE_A,0.8460207429049948
T_CA,COGS,0.844074659342888
COGS,T_CA,0.844074659342888
T_LIAB,C_FR_SALE_G_S,0.8416915339286347
C_FR_SALE_G_S,T_LIAB,0.8416915339286347
T_RE,T_FIXED_ASSETS,0.8389466876270464
T_FIXED_ASSETS,T_RE,0.8389466876270464
C_OUTF_OPERATE_A,T_LIAB,0.83710087310507
T_LIAB,C_OUTF_OPERATE_A,0.83710087310507
C_PAID_G_S,T_ASSETS,0.8370881563403213
T_ASSETS,C_PAID_G_S,0.8370881563403213
C_PAID_G_S,T_LIAB_EQUITY,0.8370881329213385
T_LIAB_EQUITY,C_PAID_G_S,0.8370881329213385
T_CL,C_PAID_G_S,0.8370034844114506
C_PAID_G_S,T_CL,0.8370034844114506
C_PAID_G_S,T_CA,0.8150706974221413
T_CA,C_PAID_G_S,0.8150706974221413
T_LIAB,C_PAID_G_S,0.8124656628114847
C_PAID_G_S,T_LIAB,0.8124656628114847
N_DEBT,T_FIXED_ASSETS,0.7947075931127914
T_FIXED_ASSETS,N_DEBT,0.7947075931127914
IC,N_TAN_ASSETS,0.787514660608846
N_TAN_ASSETS,IC,0.787514660608846
INT_DEBT,T_FIXED_ASSETS,0.7678608183230259
T_FIXED_ASSETS,INT_DEBT,0.7678608183230259
N_TAN_ASSETS,T_FIXED_ASSETS,0.7635977090728477
T_FIXED_ASSETS,N_TAN_ASSETS,0.7635977090728477
